node,value
s0,11
s1,12
s2,11
s3,12
s4,11
s5,11
s6,12
s7,11
s8,11
s9,12
s10,11
s11,12
s12,11
s13,12
s14,12
s15,12
s16,11
s17,11
s18,12
s19,11
s20,11
s21,11
s22,11
s23,11
s24,12
s25,11
s26,11
s27,11
s28,11
s29,11
s30,12
s31,12
s32,12
s33,11
s34,12
s35,12
s36,11
s37,11
s38,12
s39,11
s40,12
s41,12
s42,11
s43,12
s44,12
s45,12
s46,11
s47,11
s48,12
s49,11
s50,12
s51,11
s52,12
s53,11
s54,11
s55,11
s56,11
s57,12
s58,12
s59,11
s60,11
s61,11
s62,12
s63,12
s64,12
s65,12
s66,11
s67,11
s68,12
s69,11
s70,11
s71,11
s72,11
s73,12
s74,12
s75,11
s76,12
s77,12
s78,11
s79,12
s80,12
s81,11
s82,11
s83,12
s84,11
s85,11
s86,11
s87,12
s88,12
s89,11
s90,11
s91,11
s92,12
s93,12
s94,11
s95,11
s96,11
s97,11
s98,12
s99,12
s100,12
s101,11
s102,11
s103,11
s104,12
s105,11
s106,11
s107,11
s108,11
s109,11
s110,11
s111,11
s112,11
s113,12
s114,12
s115,11
s116,12
s117,12
s118,12
s119,12
s120,12
s121,12
s122,11
s123,12
s124,11
s125,12
s126,11
s127,12
s128,12
s129,11
s130,12
s131,12
s132,12
s133,12
s134,11
s135,12
s136,11
s137,12
s138,11
s139,11
s140,12
s141,11
s142,12
s143,11
s144,12
s145,12
s146,12
s147,12
s148,11
s149,12
s150,11
s151,11
s152,11
s153,12
s154,11
s155,12
s156,12
s157,12
s158,12
s159,12
s160,12
s161,12
s162,12
s163,11
s164,12
s165,12
s166,12
s167,12
s168,12
s169,12
s170,11
s171,12
s172,11
s173,12
s174,11
s175,12
s176,11
s177,12
s178,12
s179,12
s180,11
s181,11
s182,12
s183,11
s184,12
s185,11
s186,12
s187,11
s188,12
s189,12
s190,12
s191,11
s192,12
s193,12
s194,12
s195,12
s196,11
s197,11
s198,11
s199,11
s200,11
s201,11
s202,11
s203,11
s204,11
s205,12
s206,12
s207,11
s208,12
s209,12
s210,11
s211,12
s212,12
s213,12
s214,11
s215,11
s216,12
s217,11
s218,12
s219,12
s220,11
s221,11
s222,11
s223,12
s224,11
s225,11
s226,11
s227,12
s228,12
s229,12
s230,12
s231,11
s232,12
s233,11
s234,12
s235,12
s236,12
s237,11
s238,12
s239,11
s240,11
s241,11
s242,11
s243,11
s244,12
s245,12
s246,12
s247,12
s248,11
s249,12
s250,12
s251,12
s252,11
s253,11
s254,11
s255,12
s256,11
s257,11
s258,12
s259,12
s260,12
s261,12
s262,12
s263,11
s264,11
s265,11
s266,12
s267,11
s268,11
s269,12
s270,11
s271,11
s272,11
s273,11
s274,11
s275,12
s276,12
s277,11
s278,11
s279,11
s280,12
s281,11
s282,11
s283,12
s284,12
s285,12
s286,12
s287,11
s288,12
s289,11
s290,11
s291,11
s292,12
s293,12
s294,11
s295,12
s296,11
s297,11
s298,11
s299,11
s300,12
s301,11
s302,11
s303,12
s304,12
s305,11
s306,12
s307,11
s308,12
s309,12
s310,12
s311,11
s312,11
s313,11
s314,11
s315,11
s316,12
s317,11
s318,12
s319,11
s320,11
s321,12
s322,11
s323,11
s324,12
s325,11
s326,12
s327,12
s328,11
s329,12
s330,11
s331,12
s332,11
s333,11
s334,12
s335,12
s336,12
s337,12
s338,12
s339,12
s340,11
s341,12
s342,11
s343,12
s344,11
s345,11
s346,12
s347,11
s348,11
s349,12
s350,11
s351,11
s352,12
s353,11
s354,11
s355,12
s356,11
s357,11
s358,12
s359,11
s360,11
s361,12
s362,11
s363,12
s364,11
s365,12
s366,12
s367,11
s368,12
s369,12
s370,11
s371,12
s372,11
s373,11
s374,11
s375,12
s376,11
s377,12
s378,12
s379,12
s380,12
s381,12
s382,11
s383,11
s384,11
s385,11
s386,11
s387,11
s388,12
s389,12
s390,12
s391,12
s392,12
s393,12
s394,11
s395,11
s396,11
s397,11
s398,11
s399,11
s400,11
s401,12
s402,11
s403,12
s404,11
s405,12
s406,12
s407,12
s408,11
s409,11
s410,12
s411,11
s412,12
s413,11
s414,11
s415,11
s416,12
s417,11
s418,12
s419,11
s420,12
s421,12
s422,12
s423,11
s424,11
s425,12
s426,12
s427,12
s428,12
s429,12
s430,11
s431,11
s432,12
s433,12
s434,11
s435,11
s436,11
s437,11
s438,11
s439,11
s440,12
s441,11
s442,11
s443,11
s444,12
s445,11
s446,12
s447,11
s448,11
s449,12
s450,12
s451,11
s452,12
s453,11
s454,11
s455,12
s456,11
s457,12
s458,11
s459,11
s460,12
s461,11
s462,11
s463,11
s464,11
s465,11
s466,12
s467,12
s468,12
s469,12
s470,11
s471,12
s472,12
s473,12
s474,12
s475,11
s476,11
s477,12
s478,12
s479,12
s480,11
s481,12
s482,12
s483,11
s484,11
s485,12
s486,12
s487,11
s488,11
s489,12
s490,11
s491,12
s492,11
s493,12
s494,11
s495,12
s496,12
s497,12
s498,12
s499,12
s500,11
s501,12
s502,12
s503,12
s504,12
s505,11
s506,11
s507,12
s508,12
s509,12
s510,12
s511,12
s512,12
s513,12
s514,11
s515,11
s516,12
s517,11
s518,11
s519,12
s520,12
s521,12
s522,12
s523,11
s524,12
s525,12
s526,12
s527,11
s528,12
s529,12
s530,12
s531,11
s532,12
s533,12
s534,12
s535,12
s536,12
s537,11
s538,11
s539,12
s540,12
s541,12
s542,12
s543,12
s544,12
s545,12
s546,12
s547,11
s548,12
s549,12
s550,12
s551,12
s552,12
s553,11
s554,12
s555,12
s556,12
s557,11
s558,11
