node,value
s41,hall7
s618,hall3
s527,hall5
s609,hall5
s132,hall16
s297,hall1
s641,hall14
s56,hall4
s421,hall8
s11,hall14
s239,hall4
s296,hall4
s651,hall9
s304,hall7
s407,hall14
s266,hall18
s532,hall10
s418,hall2
s187,hall14
s67,hall14
s18,hall3
s448,hall18
s378,hall15
s510,hall14
s274,hall5
s50,hall9
s216,hall15
s420,hall6
s258,hall15
s188,hall10
s251,hall0
s408,hall17
s89,hall2
s148,hall14
s248,hall18
s66,hall6
s231,hall17
s335,hall16
s30,hall5
s374,hall18
s566,hall4
s315,hall5
s113,hall2
s198,hall12
s370,hall16
s506,hall15
s6,hall6
s192,hall3
s214,hall9
s97,hall0
s70,hall8
s45,hall10
s29,hall16
s661,hall2
s157,hall3
s210,hall9
s372,hall1
s36,hall17
s440,hall14
s263,hall17
s283,hall9
s602,hall1
s129,hall6
s321,hall10
s98,hall13
s500,hall6
s346,hall9
s336,hall12
s385,hall15
s128,hall10
s371,hall13
s587,hall16
s655,hall18
s75,hall8
s232,hall5
s600,hall5
s610,hall0
s234,hall12
s260,hall11
s564,hall15
s289,hall15
s670,hall4
s310,hall17
s116,hall12
s449,hall2
s276,hall17
s311,hall11
s325,hall13
s247,hall6
s406,hall18
s111,hall11
s480,hall7
s415,hall0
s364,hall6
s342,hall3
s452,hall18
s607,hall6
s652,hall13
s656,hall0
s455,hall13
s44,hall17
s463,hall12
s186,hall18
s621,hall16
s504,hall3
s46,hall2
s110,hall18
s518,hall15
s320,hall14
s323,hall13
s227,hall0
s284,hall17
s319,hall12
s71,hall17
s369,hall12
s396,hall14
s73,hall14
s402,hall7
s461,hall9
s622,hall12
s12,hall16
s565,hall9
s182,hall6
s381,hall15
s516,hall7
s580,hall12
s105,hall1
s549,hall14
s143,hall18
s573,hall1
s100,hall14
s317,hall11
s561,hall8
s334,hall14
s119,hall5
s17,hall18
s339,hall17
s482,hall3
s81,hall16
s357,hall18
s540,hall6
s512,hall7
s23,hall11
s653,hall15
s162,hall1
s13,hall13
s392,hall10
s462,hall2
s101,hall2
s632,hall3
s362,hall1
s179,hall7
s329,hall15
s272,hall3
s8,hall6
s640,hall18
s228,hall0
s466,hall1
s538,hall11
s139,hall17
s560,hall7
s256,hall13
s126,hall3
s458,hall14
s290,hall0
s554,hall10
s401,hall11
s68,hall14
s384,hall16
s424,hall0
s90,hall4
s167,hall2
s63,hall3
s397,hall7
s426,hall4
s460,hall14
s423,hall3
s318,hall7
s588,hall4
s149,hall5
s322,hall5
s61,hall18
s118,hall0
s38,hall17
s633,hall9
s257,hall16
s78,hall3
s577,hall18
s578,hall1
s530,hall7
s39,hall5
s27,hall6
s665,hall6
s2,hall18
s523,hall8
s77,hall11
s481,hall11
s254,hall11
s309,hall7
s647,hall0
s394,hall10
s654,hall17
s265,hall7
s519,hall10
s501,hall14
s168,hall13
s635,hall12
s366,hall5
s184,hall14
s194,hall18
s306,hall2
s25,hall6
s644,hall6
s58,hall9
s324,hall10
s170,hall18
s181,hall10
s112,hall2
s398,hall7
s340,hall16
s183,hall0
s478,hall16
s474,hall5
s193,hall13
s294,hall18
s650,hall5
s639,hall10
s471,hall5
s196,hall13
s117,hall9
s525,hall9
s145,hall6
s489,hall14
s261,hall5
s659,hall15
s668,hall10
s233,hall1
s467,hall5
s444,hall12
s307,hall12
s360,hall18
s123,hall14
s76,hall17
s429,hall1
s477,hall12
s627,hall2
s403,hall16
s94,hall15
s115,hall16
s308,hall2
s624,hall15
s298,hall1
s539,hall2
s487,hall14
s555,hall7
s428,hall4
s605,hall2
s175,hall16
s43,hall18
s497,hall11
s22,hall18
s155,hall8
s302,hall7
s642,hall4
s399,hall1
s337,hall8
s333,hall5
s567,hall4
s135,hall17
s229,hall15
s252,hall16
s425,hall15
s414,hall16
s636,hall6
s638,hall10
s146,hall4
s592,hall15
s107,hall13
s96,hall17
s35,hall17
s475,hall6
s430,hall10
s599,hall3
s348,hall14
s589,hall6
s177,hall16
s356,hall5
s142,hall18
s439,hall8
s593,hall18
s91,hall17
s152,hall16
s507,hall14
s535,hall13
s80,hall14
s244,hall7
s619,hall6
s666,hall6
s521,hall3
s615,hall1
s331,hall2
s133,hall17
s623,hall18
s176,hall18
s563,hall4
s513,hall7
s649,hall10
s106,hall8
s358,hall2
s377,hall1
s470,hall13
s604,hall8
s178,hall6
s121,hall7
s353,hall14
s217,hall8
s595,hall9
s552,hall11
s457,hall5
s570,hall16
s127,hall18
s195,hall9
s220,hall4
s476,hall0
s32,hall11
s657,hall6
s345,hall12
s197,hall4
s134,hall15
s281,hall8
s173,hall11
s488,hall7
s572,hall11
s242,hall3
s338,hall9
s255,hall2
s171,hall17
s464,hall18
s517,hall11
s28,hall7
s151,hall15
s352,hall2
s626,hall12
s669,hall12
s60,hall0
s630,hall14
s363,hall2
s419,hall12
