,sourcey,targety
0,s0,s475
1,s0,s673
2,s0,s507
3,s0,s504
4,s0,s87
5,s0,s243
6,s0,s595
7,s0,s648
8,s0,s268
9,s0,s78
10,s0,s621
11,s0,s543
12,s0,s286
13,s0,s521
14,s0,s569
15,s0,s613
16,s0,s226
17,s0,s433
18,s0,s674
19,s0,s552
20,s0,s253
21,s0,s464
22,s0,s400
23,s0,s245
24,s0,s424
25,s0,s41
26,s0,s588
27,s0,s505
28,s0,s67
29,s0,s382
30,s0,s192
31,s0,s456
32,s0,s486
33,s0,s407
34,s0,s307
35,s0,s365
36,s0,s156
37,s0,s188
38,s0,s582
39,s0,s379
40,s0,s152
41,s0,s395
42,s0,s553
43,s0,s443
44,s0,s172
45,s0,s278
46,s0,s277
47,s0,s251
48,s0,s348
49,s0,s47
50,s0,s620
51,s0,s317
52,s0,s501
53,s0,s9
54,s0,s51
55,s0,s372
56,s0,s526
57,s0,s420
58,s0,s513
59,s0,s437
60,s0,s201
61,s0,s222
62,s0,s58
63,s0,s272
64,s0,s124
65,s0,s263
66,s0,s55
67,s0,s132
68,s0,s49
69,s0,s534
70,s0,s298
71,s0,s598
72,s0,s481
73,s0,s164
74,s0,s149
75,s0,s97
76,s0,s633
77,s0,s94
78,s0,s80
79,s0,s81
80,s0,s320
81,s0,s319
82,s0,s465
83,s0,s195
84,s0,s636
85,s0,s265
86,s0,s70
87,s0,s151
88,s0,s56
89,s0,s11
90,s0,s19
91,s0,s26
92,s0,s394
93,s0,s342
94,s0,s594
95,s0,s670
96,s0,s489
97,s0,s532
98,s0,s396
99,s0,s328
100,s0,s510
101,s0,s554
102,s0,s72
103,s0,s93
104,s0,s483
105,s0,s498
106,s1,s597
107,s1,s580
108,s1,s428
109,s1,s570
110,s1,s87
111,s1,s508
112,s1,s155
113,s1,s173
114,s1,s540
115,s1,s599
116,s1,s629
117,s1,s190
118,s1,s300
119,s1,s621
120,s1,s159
121,s1,s125
122,s1,s206
123,s1,s18
124,s1,s406
125,s1,s329
126,s1,s521
127,s1,s140
128,s1,s616
129,s1,s524
130,s1,s590
131,s1,s3
132,s1,s510
133,s1,s341
134,s1,s388
135,s1,s611
136,s1,s358
137,s1,s576
138,s2,s563
139,s2,s18
140,s2,s633
141,s2,s437
142,s2,s389
143,s2,s607
144,s2,s385
145,s2,s643
146,s2,s582
147,s2,s132
148,s2,s630
149,s2,s67
150,s2,s505
151,s2,s202
152,s2,s406
153,s2,s78
154,s2,s611
155,s2,s384
156,s2,s70
157,s2,s87
158,s2,s621
159,s2,s120
160,s2,s54
161,s2,s277
162,s2,s515
