,node,value
0,s41,hall7
1,s618,hall3
2,s527,hall5
3,s609,hall5
4,s132,hall16
5,s297,hall1
6,s641,hall14
7,s56,hall4
8,s421,hall8
9,s11,hall14
10,s239,hall4
11,s296,hall4
12,s651,hall9
13,s304,hall7
14,s407,hall14
15,s266,hall18
16,s532,hall10
17,s418,hall2
18,s187,hall14
19,s67,hall14
20,s18,hall3
21,s448,hall18
22,s378,hall15
23,s510,hall14
24,s274,hall5
25,s50,hall9
26,s216,hall15
27,s420,hall6
28,s258,hall15
29,s188,hall10
30,s251,hall0
31,s408,hall17
32,s89,hall2
33,s148,hall14
34,s248,hall18
35,s66,hall6
36,s231,hall17
37,s335,hall16
38,s30,hall5
39,s374,hall18
40,s566,hall4
41,s315,hall5
42,s113,hall2
43,s198,hall12
44,s370,hall16
45,s506,hall15
46,s6,hall6
47,s192,hall3
48,s214,hall9
49,s97,hall0
50,s70,hall8
51,s45,hall10
52,s29,hall16
53,s661,hall2
54,s157,hall3
55,s210,hall9
56,s372,hall1
57,s36,hall17
58,s440,hall14
59,s263,hall17
60,s283,hall9
61,s602,hall1
62,s129,hall6
63,s321,hall10
64,s98,hall13
65,s500,hall6
66,s346,hall9
67,s336,hall12
68,s385,hall15
69,s128,hall10
70,s371,hall13
71,s587,hall16
72,s655,hall18
73,s75,hall8
74,s232,hall5
75,s600,hall5
76,s610,hall0
77,s234,hall12
78,s260,hall11
79,s564,hall15
80,s289,hall15
81,s670,hall4
82,s310,hall17
83,s116,hall12
84,s449,hall2
85,s276,hall17
86,s311,hall11
87,s325,hall13
88,s247,hall6
89,s406,hall18
90,s111,hall11
91,s480,hall7
92,s415,hall0
93,s364,hall6
94,s342,hall3
95,s452,hall18
96,s607,hall6
97,s652,hall13
98,s656,hall0
99,s455,hall13
100,s44,hall17
101,s463,hall12
102,s186,hall18
103,s621,hall16
104,s504,hall3
105,s46,hall2
106,s110,hall18
107,s518,hall15
108,s320,hall14
109,s323,hall13
110,s227,hall0
111,s284,hall17
112,s319,hall12
113,s71,hall17
114,s369,hall12
115,s396,hall14
116,s73,hall14
117,s402,hall7
118,s461,hall9
119,s622,hall12
120,s12,hall16
121,s565,hall9
122,s182,hall6
123,s381,hall15
124,s516,hall7
125,s580,hall12
126,s105,hall1
127,s549,hall14
128,s143,hall18
129,s573,hall1
130,s100,hall14
131,s317,hall11
132,s561,hall8
133,s334,hall14
134,s119,hall5
135,s17,hall18
136,s339,hall17
137,s482,hall3
138,s81,hall16
139,s357,hall18
140,s540,hall6
141,s512,hall7
142,s23,hall11
143,s653,hall15
144,s162,hall1
145,s13,hall13
146,s392,hall10
147,s462,hall2
148,s101,hall2
149,s632,hall3
150,s362,hall1
151,s179,hall7
152,s329,hall15
153,s272,hall3
154,s8,hall6
155,s640,hall18
156,s228,hall0
157,s466,hall1
158,s538,hall11
159,s139,hall17
160,s560,hall7
161,s256,hall13
162,s126,hall3
163,s458,hall14
164,s290,hall0
165,s554,hall10
166,s401,hall11
167,s68,hall14
168,s384,hall16
169,s424,hall0
170,s90,hall4
171,s167,hall2
172,s63,hall3
173,s397,hall7
174,s426,hall4
175,s460,hall14
176,s423,hall3
177,s318,hall7
178,s588,hall4
179,s149,hall5
180,s322,hall5
181,s61,hall18
182,s118,hall0
183,s38,hall17
184,s633,hall9
185,s257,hall16
186,s78,hall3
187,s577,hall18
188,s578,hall1
189,s530,hall7
190,s39,hall5
191,s27,hall6
192,s665,hall6
193,s2,hall18
194,s523,hall8
195,s77,hall11
196,s481,hall11
197,s254,hall11
198,s309,hall7
199,s647,hall0
200,s394,hall10
201,s654,hall17
202,s265,hall7
203,s519,hall10
204,s501,hall14
205,s168,hall13
206,s635,hall12
207,s366,hall5
208,s184,hall14
209,s194,hall18
210,s306,hall2
211,s25,hall6
212,s644,hall6
213,s58,hall9
214,s324,hall10
215,s170,hall18
216,s181,hall10
217,s112,hall2
218,s398,hall7
219,s340,hall16
220,s183,hall0
221,s478,hall16
222,s474,hall5
223,s193,hall13
224,s294,hall18
225,s650,hall5
226,s639,hall10
227,s471,hall5
228,s196,hall13
229,s117,hall9
230,s525,hall9
231,s145,hall6
232,s489,hall14
233,s261,hall5
234,s659,hall15
235,s668,hall10
236,s233,hall1
237,s467,hall5
238,s444,hall12
239,s307,hall12
240,s360,hall18
241,s123,hall14
242,s76,hall17
243,s429,hall1
244,s477,hall12
245,s627,hall2
246,s403,hall16
247,s94,hall15
248,s115,hall16
249,s308,hall2
250,s624,hall15
251,s298,hall1
252,s539,hall2
253,s487,hall14
254,s555,hall7
255,s428,hall4
256,s605,hall2
257,s175,hall16
258,s43,hall18
259,s497,hall11
260,s22,hall18
261,s155,hall8
262,s302,hall7
263,s642,hall4
264,s399,hall1
265,s337,hall8
266,s333,hall5
267,s567,hall4
268,s135,hall17
269,s229,hall15
270,s252,hall16
271,s425,hall15
272,s414,hall16
273,s636,hall6
274,s638,hall10
275,s146,hall4
276,s592,hall15
277,s107,hall13
278,s96,hall17
279,s35,hall17
280,s475,hall6
281,s430,hall10
282,s599,hall3
283,s348,hall14
284,s589,hall6
285,s177,hall16
286,s356,hall5
287,s142,hall18
288,s439,hall8
289,s593,hall18
290,s91,hall17
291,s152,hall16
292,s507,hall14
293,s535,hall13
294,s80,hall14
295,s244,hall7
296,s619,hall6
297,s666,hall6
298,s521,hall3
299,s615,hall1
300,s331,hall2
301,s133,hall17
302,s623,hall18
303,s176,hall18
304,s563,hall4
305,s513,hall7
306,s649,hall10
307,s106,hall8
308,s358,hall2
